user_id,session_id,time,accx,accy,accz,gyrx,gyry,gyrz
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,152,-608.4,-27.83,833.01,8.08,83.37,10.63
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,153,-695.31,50.78,711.43,6.87,76.09,9.83
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,154,-701.66,8.3,741.21,3.38,75.77,2.66
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,155,-677.73,4.88,725.1,5.5,74.5,3.09
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,156,-745.12,24.41,627.44,24.26,79.87,-8.57
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,157,-736.82,-17.58,676.76,18.82,80.43,-4.73
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,158,-753.91,72.27,572.75,3.5,65.24,1.28
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,159,-778.32,-11.72,503.91,8.82,61.07,-3.85
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,160,-816.89,66.89,412.6,1.21,52.72,0.75
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,161,-872.07,0.98,510.25,13.27,51.09,-5.34
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,162,-929.2,13.67,470.7,8.8,48.15,8.01
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,163,-920.41,26.86,376.46,12.56,47.05,1.43
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,164,-925.78,74.71,384.77,-4.82,34.5,-2.02
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,165,-919.92,35.64,399.41,-13.31,28.73,1.47
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,166,-909.18,21.48,344.73,-15.48,21.78,3.12
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,167,-908.2,5.37,327.64,2.76,26.65,2.76
