Time(s),Raw_Voltage,Smoothed_Envelope
4.593569040298461914e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.611848115921020508e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.638724088668823242e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.656919240951538086e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.680748224258422852e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.698572158813476562e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.721321105957031250e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.738300085067749023e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.761443138122558594e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.778568029403686523e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.802581071853637695e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.820883989334106445e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.845381975173950195e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.862767934799194336e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.886173963546752930e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.903295993804931641e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.927659034729003906e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.946505069732666016e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.970281124114990234e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.987234115600585938e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.012240886688232422e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.030434131622314453e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.054991960525512695e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.072751998901367188e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.096431970596313477e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.113497972488403320e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.136935949325561523e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.154837131500244141e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.177537202835083008e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.194702148437500000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.218010902404785156e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.235086202621459961e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.257737159729003906e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.274312019348144531e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.296426057815551758e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.313472032546997070e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.336383104324340820e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.354509115219116211e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.378957033157348633e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.396676063537597656e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.419214248657226562e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.436267137527465820e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.459120035171508789e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.475975990295410156e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.498922109603881836e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.516360998153686523e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.541282176971435547e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.558653116226196289e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.581927061080932617e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.598547935485839844e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.622256040573120117e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.638824939727783203e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.661222934722900391e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.678121089935302734e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.705383062362670898e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.723995923995971680e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.747408866882324219e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.765900135040283203e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.791032075881958008e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.808318138122558594e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.833307981491088867e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.855552196502685547e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.883454084396362305e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.901502132415771484e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.925242900848388672e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.942641019821166992e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.968483209609985352e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.986344099044799805e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.009529829025268555e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.027045965194702148e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.049938917160034180e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.067462921142578125e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.089905977249145508e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.107420921325683594e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.130030870437622070e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.147023916244506836e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.170478105545043945e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.188579082489013672e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.211575031280517578e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.229028224945068359e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.251278162002563477e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.268010139465332031e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.289905071258544922e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.306143999099731445e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.327360153198242188e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.343333959579467773e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.364248037338256836e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.380237102508544922e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.401406049728393555e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.417248010635375977e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.438131093978881836e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.454111099243164062e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.475286006927490234e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.491222143173217773e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.512124061584472656e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.528011083602905273e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.549451112747192383e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.565519094467163086e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.586457967758178711e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.602296113967895508e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.623048067092895508e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.638904094696044922e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.659801244735717773e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.675631046295166016e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.696256160736083984e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.712038040161132812e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.732928991317749023e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.748775959014892578e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.769641160964965820e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.785519838333129883e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.806510925292968750e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.822345018386840820e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.843382120132446289e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.859326124191284180e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.880181074142456055e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.895980119705200195e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.917287111282348633e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.933378219604492188e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.954282045364379883e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.970146179199218750e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.991030216217041016e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.006893157958984375e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.028569221496582031e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.045720100402832031e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.067383050918579102e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.083811044692993164e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.105134248733520508e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.121468067169189453e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.145579099655151367e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.162326097488403320e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.184197902679443359e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.202434062957763672e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.224617958068847656e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.241231203079223633e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.262842893600463867e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.279345989227294922e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.301284074783325195e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.319561958312988281e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.343508005142211914e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.361531019210815430e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.385797977447509766e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.403125047683715820e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.425093889236450195e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.442682027816772461e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.466202020645141602e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.484249114990234375e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.507281064987182617e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.523943901062011719e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.546283006668090820e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.563087940216064453e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.584655284881591797e+00,0.000000000000000000e+00,0.000000000000000000e+00
