AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp_C
-911.13,-9.28,312.01,-0.83,-52.44,1.21,48.45,-5.7,31.5,34.55
-963.38,-2.44,375.98,9.05,-65.25,3.08,47.85,-6.3,32.7,34.64
-878.91,-10.25,368.16,4.63,-72.44,1.89,46.8,-5.55,35.55,34.69
-788.09,-54.69,516.11,15.39,-60.76,-8.85,44.7,-5.85,36.9,34.55
-782.23,-59.08,561.04,15.17,-66.34,3.95,42.9,-5.85,39.6,34.64
-852.05,25.88,655.76,22.8,-55.71,-7.58,42.6,-4.8,40.35,34.64
-873.05,29.79,537.11,-4.66,-61.37,-11.85,40.05,-5.85,41.7,34.31
-694.34,-27.83,722.17,-8.76,-74.72,-19.43,37.95,-5.25,42.0,34.64
-755.86,-69.82,614.26,-13.85,-57.12,-20.8,36.6,-4.8,42.0,34.5
-704.1,-94.73,601.07,4.27,-75.89,-19.76,34.5,-6.3,44.1,34.4
-528.32,-75.2,796.87,15.0,-72.67,-14.71,32.85,-5.7,45.0,34.64
-713.87,-107.91,848.63,4.42,-67.22,-8.33,30.75,-6.45,47.4,34.64
-634.28,-54.69,793.95,0.87,-77.33,-12.39,30.0,-6.15,48.15,34.69
-567.38,-43.95,905.76,-10.8,-76.11,-13.03,27.0,-5.25,47.55,34.55
-506.35,-104.98,909.18,-13.76,-63.06,-20.36,25.35,-6.9,49.2,34.55
-573.24,-90.33,876.95,-12.85,-64.79,-9.02,24.15,-7.8,50.7,34.74
-489.26,-83.01,919.43,-12.79,-64.31,-24.78,22.65,-8.7,49.95,34.4
-433.11,-125.98,978.52,0.44,-68.16,-24.67,19.35,-8.7,49.95,34.69
-330.08,-124.02,1001.95,15.39,-64.14,-11.91,17.55,-6.45,50.55,34.74
-402.34,-51.76,941.89,13.09,-49.17,-10.34,14.85,-7.95,52.65,34.5
-421.87,-17.58,992.19,5.61,-61.57,-15.86,14.55,-5.25,50.1,34.55
-299.32,-83.5,1019.53,-0.25,-62.47,-25.33,13.5,-5.85,50.4,34.64
-244.63,-157.71,1002.44,0.4,-60.1,-22.37,11.55,-6.9,50.25,34.31
-174.32,-176.27,1018.55,0.31,-49.53,-12.5,10.35,-5.85,49.05,34.55
-210.94,-119.63,1060.55,-5.15,-33.8,-7.16,8.1,-7.5,48.9,34.64
-208.5,-63.48,1046.88,-8.39,-28.65,-12.86,8.1,-5.4,48.9,34.69
-157.71,-113.77,1019.53,-11.89,-39.78,-18.64,8.7,-7.95,49.2,34.4
-175.78,-127.44,1025.88,4.5,-34.15,-25.82,7.5,-7.35,48.0,34.69
-89.36,-142.58,1032.71,16.11,-33.14,-22.45,7.95,-6.3,47.55,34.31
-74.71,-190.43,1070.8,13.17,-26.23,-11.12,6.6,-7.95,47.4,34.31
-120.61,-148.93,989.26,9.84,-22.85,-11.84,5.55,-5.4,45.3,34.31
-55.66,-145.51,1024.9,5.92,-28.36,-10.21,4.05,-6.3,46.2,34.4
-59.08,-227.05,1039.06,3.24,-23.77,0.69,6.45,-4.8,45.9,34.4
-75.2,-159.18,1058.11,14.79,-19.04,1.4,5.1,-5.85,47.25,34.21
-4.88,-77.15,1147.95,21.0,-15.89,3.11,3.75,-5.4,45.75,34.31
-48.34,-81.54,1099.61,12.66,-5.16,4.63,4.95,-2.4,46.05,34.69
-30.27,-6.84,1037.6,5.53,-5.34,2.56,3.0,-4.5,45.15,34.64
-22.46,-40.53,1003.91,-1.2,-0.56,1.91,3.15,-2.85,44.4,34.5
-21.0,-49.8,994.14,4.05,-2.46,-0.66,4.05,-2.7,44.1,34.64
-26.86,4.88,1016.6,2.63,1.11,-2.84,4.35,-4.05,44.1,34.5
-35.16,-3.42,1038.09,-11.42,2.96,-10.27,5.25,-3.6,44.7,34.4
-19.53,-78.61,1045.9,-17.92,1.83,-10.85,4.05,-4.8,44.1,34.5
-52.25,-131.84,1049.32,-16.7,-4.13,-12.77,5.4,-3.0,45.15,34.4
-18.07,-195.8,1134.77,-8.48,-6.25,-8.41,5.4,-4.5,44.1,34.5
12.7,-248.54,1258.79,5.11,1.16,5.3,4.35,-4.5,44.85,34.5
-37.6,-139.65,1259.77,1.0,16.45,26.08,3.3,-6.6,45.15,34.64
-21.97,-152.34,1239.26,-18.05,56.52,34.31,2.4,-5.7,45.3,34.69
-47.85,-108.4,1134.28,-19.87,70.87,36.09,4.95,-4.95,46.35,34.4
-60.06,-114.26,1092.29,-27.44,83.18,34.33,6.45,-5.25,48.0,34.64
-162.11,-148.44,1049.32,-21.69,94.47,39.31,6.45,-6.3,49.35,34.55
-138.67,-131.35,1017.58,-3.36,97.61,33.84,10.65,-7.8,50.1,34.74
-203.61,-172.85,1034.67,13.63,102.8,45.86,10.5,-6.15,49.95,34.64
-322.75,-93.26,897.95,21.54,97.11,41.84,16.05,-8.85,52.2,34.74
-400.88,-48.34,870.61,5.47,101.19,34.22,16.5,-6.9,50.55,34.4
-441.89,-75.2,867.19,0.69,94.13,29.53,21.15,-5.4,50.25,34.69
-491.7,-111.82,832.03,5.72,94.64,33.15,22.35,-5.85,50.4,34.4
-541.99,-20.51,780.76,13.21,87.76,28.51,25.65,-5.55,48.3,34.64
-643.07,-29.3,765.62,7.44,92.52,29.98,27.0,-6.3,47.55,34.64
-714.36,-7.32,729.98,13.73,86.06,19.36,31.05,-4.35,46.05,34.4
-705.08,12.7,662.11,20.42,79.73,19.05,31.8,-3.6,45.3,34.4
-710.45,9.77,702.15,-0.79,65.82,9.6,34.8,-3.75,43.5,34.5
-743.65,1.95,514.16,10.67,69.53,10.7,36.45,-4.65,41.55,34.5
-778.32,56.64,602.54,-0.44,62.81,8.39,37.95,-4.8,41.4,34.64
-787.11,19.04,543.46,7.56,57.82,4.42,40.8,-3.0,40.35,34.64
-878.42,106.45,487.79,-9.13,52.24,5.88,41.1,-2.25,39.6,34.55
-835.94,30.76,520.02,3.0,56.81,-2.62,43.05,-3.6,38.85,34.64
-854.0,-10.25,471.19,-2.64,38.62,5.66,43.05,-2.85,37.05,34.64
-893.55,4.88,431.64,-2.81,40.26,10.09,45.45,-3.0,36.15,34.5
-931.64,72.75,371.09,-6.22,41.73,8.27,45.0,-3.45,36.15,34.74
-884.28,27.34,443.36,4.15,30.57,10.18,47.4,-2.85,34.65,34.5
-955.08,-38.09,403.81,-8.63,38.6,11.94,47.1,-3.75,33.0,34.64
-968.26,45.41,229.49,3.89,17.63,9.32,47.7,-1.05,32.55,34.64
-929.69,123.05,378.42,-4.49,22.65,9.83,48.45,-2.85,31.2,34.64
-916.5,86.91,229.49,-14.46,14.7,8.93,49.05,-1.05,32.55,34.69
-891.6,62.99,232.91,0.7,4.11,5.56,48.9,-0.9,31.95,34.5
-907.23,201.17,230.47,-6.19,-9.58,5.78,49.35,-2.25,31.35,34.55
-910.16,94.24,372.07,-8.34,-8.97,0.83,48.0,-1.05,32.85,34.74
-937.99,58.59,294.43,5.31,-18.28,0.18,47.4,-2.4,31.2,34.64
-844.73,44.92,438.96,22.41,-18.61,-5.03,46.65,-1.35,31.2,34.5
-989.26,159.67,312.01,10.56,-20.02,1.27,48.45,-1.05,31.5,34.55
-850.1,94.73,375.49,15.97,-35.94,-5.72,46.35,-2.4,32.25,34.4
-931.64,106.45,346.19,-4.53,-35.1,2.21,45.45,-0.9,33.0,34.5
-898.44,59.08,366.21,-8.21,-48.24,-6.92,44.1,-0.6,34.95,34.4
-879.88,76.17,450.2,29.66,-35.29,-6.4,44.1,-2.85,36.75,34.31
-850.59,73.24,514.65,12.11,-61.79,-3.01,43.05,-1.05,36.75,34.4
